id,date,establisment,total,tip,grubhub,timePay,mileagePay,miles,bonus,acceptedAt,streetName,city,zip,canceled,popUp,type,lat,long,rating
164,6/25/2021,KFC,8.87,3.39,5.48,3.12,1.36,5.91,1,12:36:00 PM,519 E Market St,West Chester,19382,,,Fast Food,39.96366,-75.59671,1.5
165,6/22/2021,KFC,6.42,1.28,5.14,3.13,1.01,4.39,1,1:27:00 PM,519 E Market St,West Chester,19382,,,Fast Food,39.96366,-75.59671,1.5
166,6/25/2021,Teikoku,12.28,5,7.28,4.6,2.68,11.65,0,7:06:00 PM,5492 West Chester Pike,Newtown Square,19073,,,Asian,39.97146,-75.4699,4
167,6/22/2021,Teikoku,18.33,9.09,9.24,2.65,1.59,6.91,5,6:52:00 PM,5492 West Chester Pike,Newtown Square,19073,,,Asian,39.97146,-75.4699,4
168,6/25/2021,Market Street Grill,7.73,2.96,4.77,4.06,0.71,3.09,0,11:03:00 AM,6 Market St,West Chester,19382,,,American,39.95969,-75.60454,4.5
169,6/23/2021,Market Street Grill,6.27,2.82,3.45,2,0.45,1.96,1,11:03:00 AM,6 Market St,West Chester,19382,,,American,39.95969,-75.60454,4.5
170,6/17/2021,Market Street Grill,13.67,8,5.67,4.33,1.34,5.83,0,10:29:00 AM,6 Market St,West Chester,19382,,,American,39.95969,-75.60454,4.5
171,6/16/2021,Market Street Grill,6.25,4.25,2,1.95,0.05,0.22,0,11:05:00 AM,6 Market St,West Chester,19382,,,American,39.95969,-75.60454,4.5
172,6/16/2021,Market Street Grill,7.41,3.38,4.03,3.43,0.6,2.61,0,11:05:00 AM,6 Market St,West Chester,19382,,,American,39.95969,-75.60454,4.5
173,7/4/2021,sweetFrog,11.11,5,6.11,2.93,2.18,9.48,1,12:30:00 PM,600 Town Centre Dr Ste 8,Glen Mills,19342,,,Ice Cream,39.88253,-75.52871,4.5
174,6/27/2021,sweetFrog,11.03,5,6.03,2.72,2.31,10.04,1,2:58:00 PM,600 Town Centre Dr Ste 8,Glen Mills,19342,,,Ice Cream,39.88253,-75.52871,4.5
175,7/8/2021,Dunkin',1.26,0,1.26,1.15,0.11,0.48,0,11:06:00 AM,607 E Market St #1,West Chester,19382,,,Fast Food,39.96425,-75.59525,n/a
176,6/30/2021,Dunkin',4.52,1,3.52,2.58,0.94,4.09,0,12:03:00 PM,607 E Market St #1,West Chester,19382,,,Fast Food,39.96425,-75.59525,n/a
177,6/23/2021,Capriotti's,18.83,15.83,3,2.51,0.49,2.13,0,11:32:00 AM,607 E Market St #2,West Chester,19380,,,American,39.96425,-75.59525,3.5
178,6/22/2021,Capriotti's,7.6,3.51,4.09,3.49,0.6,2.61,0,1:12:00 PM,607 E Market St #2,West Chester,19380,,,American,39.96425,-75.59525,3.5
179,7/6/2021,Restaurante Morelos,7.66,4.37,3.29,2.53,0.76,3.3,0,7:43:00 PM,611 W Strasburg Rd,West Chester,19382,,,Mexican,39.95941,-75.61739,5
180,7/14/2021,Peter Clark,7.84,4.81,3.03,2.51,0.52,2.26,0,12:05:00 PM,698 E Market St Unit 3,West Chester,19382,,,n/a,39.96388,-75.59487,n/a
181,7/8/2021,Peter Clark,10.48,6.94,3.54,2.54,1,4.35,0,1:28:00 PM,698 E Market St Unit 3,West Chester,19382,,,n/a,39.96388,-75.59487,n/a
182,6/24/2021,McDonald's,6.92,3.38,3.54,2.85,0.69,3,0,1:13:00 PM,701 E Gay St,West Chester,19380,,,Fast Food,39.96546,-75.59561,3
183,6/13/2021,McDonald's,10.84,6.26,4.58,3.42,1.16,5.04,0,3:37:00 PM,701 E Gay St,West Chester,19380,,,Fast Food,39.96546,-75.59561,3
184,6/13/2021,McDonald's,4.2,1,3.2,2,0.37,1.61,0.83,1:39:00 PM,701 E Gay St,West Chester,19380,,,Fast Food,39.96546,-75.59561,3
185,7/8/2021,Baan Thai,12.17,8.38,3.79,3.09,0.7,3.04,0,5:58:00 PM,704 W Nields St #4102,West Chester,19382,,,Asian,39.94819,-75.61089,4
186,7/6/2021,Baan Thai,6,3,3,2.67,0.33,1.43,0,8:00:00 PM,704 W Nields St #4102,West Chester,19382,,,Asian,39.94819,-75.61089,4
187,7/2/2021,Baan Thai,8.89,4.48,4.41,3.03,1.38,6,0,4:03:00 PM,704 W Nields St #4102,West Chester,19382,,,Asian,39.94819,-75.61089,4
188,7/1/2021,Baan Thai,11.93,7.63,4.3,3.36,0.94,4.09,0,6:15:00 PM,704 W Nields St #4102,West Chester,19382,,,Asian,39.94819,-75.61089,4
189,6/22/2021,Baan Thai,7,4,3,2.57,0.43,1.87,0,12:59:00 PM,704 W Nields St #4102,West Chester,19382,,,Asian,39.94819,-75.61089,4
190,7/14/2021,Wawa,9.06,4.45,4.61,3.12,1.49,6.48,0,12:05:00 PM,706 E Gay St,West Chester,19380,,,Fast Food,39.96523,-75.59373,3
191,7/8/2021,Wawa,7.84,3.58,4.26,2.84,1.42,6.17,0,6:28:00 PM,706 E Gay St,West Chester,19380,,,Fast Food,39.96523,-75.59373,3
192,6/27/2021,Wawa,7.25,4.25,3,2.72,0.28,1.22,0,6:44:00 PM,706 E Gay St,West Chester,19380,,,Fast Food,39.96523,-75.59373,3
193,6/25/2021,Wawa,6.28,3.78,2.5,2.16,0.34,1.48,0,12:36:00 PM,706 E Gay St,West Chester,19380,,,Fast Food,39.96523,-75.59373,3
194,6/22/2021,Wawa,8.54,5.54,3,2.47,0.53,2.3,0,5:07:00 PM,706 E Gay St,West Chester,19380,,,Fast Food,39.96523,-75.59373,3
195,6/22/2021,Wawa,6.98,3.31,3.67,2.55,1.12,4.87,0,12:32:00 PM,706 E Gay St,West Chester,19380,,,Fast Food,39.96523,-75.59373,3
196,7/7/2021,Boston Market,13.19,7.12,6.07,4.12,1.95,8.48,0,12:27:00 PM,726 E Gay St,West Chester,19380,,,Fast Food,39.96523,-75.59373,3
197,6/27/2021,Fiorello's Café,19.17,15,4.17,3.46,0.71,3.09,0,6:59:00 PM,730 E Gay St,West Chester,19380,,,Fast Food,39.96523,-75.59373,3
198,6/24/2021,Fiorello's Café,13.43,9.66,3.77,3.16,0.61,2.65,0,6:53:00 PM,730 E Gay St,West Chester,19380,,,Fast Food,39.96523,-75.59373,3
199,7/3/2021,Dunkin',6.29,2,4.29,2.58,0.71,3.09,1,12:13:00 PM,750 Miles Rd,West Chester,19380,Canceled,,American,39.96563,-75.59319,3.5
200,7/8/2021,Jaco Juice,6.63,3.36,3.27,2.88,0.39,1.7,0,12:13:00 PM,8 W Gay St,West Chester,19380,,,Mexican,39.96043,-75.60552,4
201,7/8/2021,Jaco Juice,6.59,3.93,2.66,1.66,1,4.35,0,12:13:00 PM,8 W Gay St,West Chester,19380,,,Mexican,39.96043,-75.60552,4
202,7/2/2021,Jaco Juice,8,5,3,2.87,0.13,0.57,0,1:24:00 PM,8 W Gay St,West Chester,19380,,,Mexican,39.96043,-75.60552,4
203,6/23/2021,Jaco Juice,10.98,7.98,3,2.63,0.37,1.61,0,12:35:00 PM,8 W Gay St,West Chester,19380,,,Mexican,39.96043,-75.60552,4
204,6/23/2021,Jaco Juice,9.31,5,4.31,3.09,1.22,5.3,0,11:39:00 AM,8 W Gay St,West Chester,19380,,,Mexican,39.96043,-75.60552,4
205,6/13/2021,Jaco Juice,9.64,4.63,5.01,3.71,1.3,5.65,0,12:10:00 PM,8 W Gay St,West Chester,19380,,,Mexican,39.96043,-75.60552,4
206,7/3/2021,El Limon,9.55,2.68,6.87,3.94,2.6,11.3,0.33,2:25:00 PM,84 W Lancaster Ave,Downingtown,19335,,,Mexican,40.00373,-75.70799,3.5
207,6/27/2021,El Limon,11.83,5,6.83,3.73,2.1,9.13,1,4:07:00 PM,84 W Lancaster Ave,Downingtown,19335,,,Mexican,40.00373,-75.70799,3.5
